original_review_id,source,country,reviewId,userName,rating,review,title,date,version,discovery_score,categories,matched_terms,rating_bonus,priority_score,is_discovery_review,selected_for_gpt
5794,Apple App Store,AU,14237992401,Kyle.4226,3,Wish it would give me more range in music not just repeat the same song over and over again. Discover weekly and release radar seems to be so repetitive and starting to get boring. Even the smart shuffle just cycles the same songs,More range,2026-06-28T12:05:11-07:00,9.1.60,69,"discovery,repetition,playlist","boring,discover,discover weekly,over and over,release radar,repeat,repetitive,same song,same songs,shuffle,smart shuffle",2,71,True,False
3153,Google Play,IN,f5976aa9-e80b-42a2-8c52-c4844e88878d,Flozz Xia,5,"Spotify is the best for discovering new music. The Daily Mix, Discover Weekly, and Release Radar always put me on to new K-pop, indie, and chill tracks I end up loving.",,2026-06-28 15:10:58,,38,"discovery,playlist,artist","daily mix,discover,discover weekly,indie,new music,release radar",0,38,True,False
5433,Apple App Store,US,14247930844,Most essential 1,5,"Seriously if someone told me, I could only use one app for the rest of my life this would be it. Their Radio suggestions are incredible. The Discover weekly playlist that has custom curated for you. Every week is beautiful and the release radar playlist is major for finding new sauce for mix. Feels like every time I wish there were a certain feature, they read my mind, figure it out, and add it. (for example adding a song to multiple playlists at once) thank you for being the greatest and most essential app of all time. Take my money forever. Dang.",Most Valuavle App of All Time,2026-06-30T21:11:45-07:00,9.1.60,29,"discovery,playlist","discover,discover weekly,playlist,playlists,radio,release radar",0,29,True,False
605,Google Play,IN,2e7e2fc1-03a6-453f-b669-aeb7736e8c8a,Michelle Bassette,2,"It's gotten worse with time Podcasts- autoplay used to go through my followed list and play next un-listened to, no replays already listened to content Needs a ""remove from suggested"" option Plays the same songs over and over in most of my Spotify created playlists Would like the option to listen to a variety of genres in a Spotify made playlist I pay for a family plan but only one person can listen to audiobooks",,2026-07-01 21:00:08,9.1.60.1970,26,"discovery,repetition,playlist","genres,over and over,playlist,playlists,same songs,variety",3,29,True,False
765,Google Play,IN,f66766f2-4de4-47ad-94f3-fdcf74c22ad9,Shivam Kumar Mehta,4,"I listen to everything—from high-energy Phonk and hype bangers to chill study tracks and soulful classics. Spotify’s algorithm handles my diverse music taste perfectly. The personalized mixes and ""Recommended Stations"" always introduce me to great new music based on what I’m currently vibing with, and the UI makes it easy to jump between totally different moods. However, the amount of ads on the free tier is getting out of hand. It completely breaks the vibe when you go from a smooth, emotional.",,2026-07-01 17:22:22,,27,"discovery,recommendation,personalization","algorithm,diverse,music taste,new music,personalized,recommended,taste",1,28,True,False
6489,Apple App Store,CA,14224580467,Bohdacious,3,"While I’m a long-term fan and heavy user of the platform, persistent dissatisfaction has accompanied the experience on 3 main points.   Firstly the interface continues in a dated idea of how modern UI can be.  Second, the home page and the suggestions of what I might like have always offered me so much of what I have never and won’t ever listen to.  Lastly that singular option of a ridiculous voice and manner of the ai DJ.  It’s absurd and jarring.  
That said, other aspects of the algorithm are great.  Discover Weekly has given me so much over the years, so for now it remains the home of my countless playlists.",Should be so much better.,2026-06-25T06:18:47-07:00,9.1.58,26,"discovery,recommendation,playlist","ai dj,algorithm,discover,discover weekly,playlists",2,28,True,False
5211,Apple App Store,US,14250893355,Jhonyff777,1,I added new songs list to my playlist and the shuffle keeps repeating the same old songs over and over,Music shuffle repeats same songs over and over,2026-07-01T13:13:07-07:00,9.1.60,23,"discovery,repetition,playlist","new songs,over and over,playlist,repeating,shuffle",4,27,True,False
510,Google Play,IN,2a5b97be-0850-4331-b335-481e1a33d640,Faith Omonisi,5,"Spotify makes discovering and enjoying music effortless. The recommendations are spot-on, playlists like Discover Weekly always introduce something new, and offline downloads are perfect for travel. Podcasts add even more variety. Smooth interface, great sound quality, and it fits seamlessly into daily life. Genuinely hard to imagine music without it.",,2026-07-01 22:48:10,9.1.60.1970,25,"discovery,recommendation,playlist","discover,discover weekly,playlists,recommendations,variety",0,25,True,False
6517,Apple App Store,CA,14221741224,Dsp1269,4,Everything is great except the AI DJ. Its super annoying always plays the same songs instead of at least playing some other songs from the same artist. You could do much better!,Long time Spotify premium subsriber,2026-06-24T12:07:27-07:00,9.1.58,24,"repetition,playlist,artist","ai dj,artist,same artist,same songs",1,25,True,False
4645,Google Play,IN,466c55e6-fecc-46eb-9a89-a80977cac0f9,Cjay H,1,It really sucks right now. My music keeps pausing on its own and I can't see what song is playing. Just too many issues with new updates Edit: works a lot better since this review however the same songs on my Playlist keeps playing all the time on shuffle. I tried clearing cache but the same thing keeps happening,,2026-06-26 19:19:33,9.1.60.1970,21,"repetition,playlist,personalization","keeps playing,my music,playlist,same songs,shuffle",4,25,True,False
3194,Google Play,IN,75c57a70-2d35-4af8-a2d4-23d1abc916e1,Laavanya Ganga Tharan,5,"Spotify is enjoyable music app with a wide variety of songs, podcasts and playing. It is easy to use and helps unders discover new artist, trending songs and personalised recommendations. You can save favourite songs and listen to music anytime.",,2026-06-28 14:14:47,9.1.60.1970,23,"discovery,recommendation,artist","artist,discover,new artist,recommendations,variety",0,23,True,False
3557,Google Play,IN,068acde2-b4f1-4ab5-a905-f0f9a79602aa,Justin DellaPenna,1,Shuffle doesnt work. it plays the same songs over and over in the same order too. even on premium. canceling my subscription,,2026-06-28 02:09:38,9.1.60.1970,18,"repetition,playlist","over and over,same songs,shuffle",4,22,True,False
5864,Apple App Store,AU,14227493871,David Chukwuma,5,"I love that I can go from gospel and worship playlists in the morning, to lofi/ambient while I’m working, then random “unfitting” throwbacks at night without skipping a beat. Spotify just gets that my day isn’t one mood. The mixes + Discover Weekly keep feeding me new spiritual artists I’d never find otherwise, plus all my weird niche stuff too. It’s like having every version of me in one app.",Awesome,2026-06-25T23:32:39-07:00,9.1.58,20,"discovery,playlist,personalization,artist","artists,discover,discover weekly,mood,playlists",0,20,True,False
5991,Apple App Store,AU,14207861013,GlowBowser,4,The shuffle can just give the same songs over and over again,Shuffle 👎,2026-06-20T22:20:46-07:00,9.1.58,18,"repetition,playlist","over and over,same songs,shuffle",1,19,True,False
6225,Apple App Store,CA,14250000933,explodingstar25,4,Love the app but the shuffling feature needs to be fixed still. I feel like I always listen to the same artist in my playlists for several songs before it changes to a different artist. Just for it to do the same thing over and over again.,One thing that bothers me.,2026-07-01T08:44:47-07:00,9.1.60,18,"repetition,playlist,artist","artist,over and over,playlists,same artist",1,19,True,False
676,Google Play,IN,6196d1fc-e221-4663-8510-ab594ef2d3be,Coty Shelton,3,"The app won't let me go to the next song. keeps playing the same song on repeat, stays stuck on the loop button",,2026-07-01 19:38:39,9.1.60.1970,17,repetition,"keeps playing,repeat,same song",2,19,True,False
4564,Google Play,IN,61d8878e-15db-4784-9a82-83ac1c58b1bc,Davvo101,2,"Buggy app, requires stronger internet signal than most video streaming sites despite only streaming audio, very poor interface in terms of finding new music, repeats songs back to you on song radio. Would avoid if I wasn't already so committed. edit: thank you for offering non-personalised options for playlists, step in the right direction",,2026-06-26 20:59:04,9.1.60.1970,16,"discovery,repetition,playlist","new music,playlists,radio,repeats",3,19,True,False
