source,country,reviewId,userName,rating,review,title,date,version,voteCount
Apple App Store,US,14252873292,Isabee buzzzz,5,go check out Lix on Spotify,best app,2026-07-02T01:43:43-07:00,9.1.60,0
Apple App Store,US,14252850141,Ghigkuyfftuf,5,I love music and w/o the premium it’s trash in phones but I love it sfm,ITS MY LIFE,2026-07-02T01:34:24-07:00,9.1.60,0
Apple App Store,US,14252833983,Jerrick :),5,"Love the app, but I don’t like the add and if I want to download I have to have get premium .",4.9,2026-07-02T01:27:51-07:00,9.1.60,0
Apple App Store,US,14252828519,Marshall Witt,5,I love listening to music,W app,2026-07-02T01:25:37-07:00,9.1.60,0
Apple App Store,US,14252822797,Caseoh_man,5,I love you guys so much,Amazing,2026-07-02T01:23:17-07:00,9.1.60,0
Apple App Store,US,14252733974,Eliot hart,5,"I’ve been using Spotify foe a while and it an amazing source for music, podcasts, and discovering new artists!!",10/10 100%,2026-07-02T00:47:03-07:00,9.1.60,0
Apple App Store,US,14252717775,The goat🐐🐐🩷,5,I love it,The goat,2026-07-02T00:40:32-07:00,9.1.60,0
Apple App Store,US,14252699180,Ninjago is pretty tuff,5,Pretty tuff lwk,My review,2026-07-02T00:32:54-07:00,9.1.60,0
Apple App Store,US,14252682655,Chloe/Cylia/griffin,5,IF U DONT HAVE SPOTIFY THEN GET IT RIGHT AWAY ITS MY LIFE CUZ MUSIC ALWAYS HELPS ME,I LUV SPOTIFY SO MUCH,2026-07-02T00:26:14-07:00,9.1.60,0
Apple App Store,US,14252658411,ILoveMariee,1,This app plays live songs even when the app is closed I don’t even listen to these songs happens all the time,Trash,2026-07-02T00:16:31-07:00,9.1.60,0
Apple App Store,US,14252615404,Lar-barion,4,I love it just wish it was easier to buy Spotify premium,Good,2026-07-01T23:59:02-07:00,9.1.60,0
Apple App Store,US,14252560075,Gerrard$,5,"Spotify has become a reliable part of my daily life. Whether I’m listening to music, podcasts, or audiobooks, the experience is consistent and easy to use. I appreciate having a wide range of content in one place, and it has been a valuable tool for learning, focus, and relaxation. It’s one of the few apps I use every day and confidently recommend.",An Essential Part of My Daily Routine,2026-07-01T23:36:31-07:00,9.1.60,0
Apple App Store,US,14252539671,Даниэль Аванесян,4,Nothing special. I love youtube music more,Works,2026-07-01T23:28:13-07:00,9.1.60,0
Apple App Store,US,14252506358,~Lisa Manobal~,5,Spodify is my fave because I can turn my phone off and still listen to it! I love it A LOT! Plus I get many followers too! ❤️❤️❤️🖤🖤🖤🩷🩷🩷💜💜💜,I LOVE THIS APP,2026-07-01T23:14:31-07:00,9.1.60,0
Apple App Store,US,14252501558,007lic,5,In anghami when you click a song it doesn’t even direct to it it puts another song Spotify does the opposite not to forget you can share the songs and just overall better tho there is a *orn problem so I dont recommend for kids,Better then anghami,2026-07-01T23:12:33-07:00,9.1.60,0
Apple App Store,US,14252493402,FRe3 P@L3stine,3,"Since Spotify dj was added suggested songs have become far too limited, the DJ SHUFFLES my existing songs instead of introducing me to new music. and when I play a song it no longer recommends good new music. 

Bring back new music exposure!",Bring back new music exposure,2026-07-01T23:09:09-07:00,9.1.60,0
Apple App Store,US,14252492176,Nobody0315,2,Bro what is going on Spotify what is this update of you can’t play ur playlist like bro I made a playlist so I can play songs I LIKE not some stupid song that I’ve never liked before. Like what’s happening u guys are like money hungry bro I might as well just go back to YouTube music or whatever other app there is this is so stupid $12.99 for premium which is only being able to download my playlist and listen to my playlist. So maybe don’t be so money hungry and force us to listen to songs that we don’t even like and plus $13 a month for premium is a lot of money for just being to skip songs I don’t like.,Annoying update,2026-07-01T23:08:38-07:00,9.1.60,0
Apple App Store,US,14252480930,50(?;)&,5,4 años usandola ⭐️⭐️⭐️⭐️⭐️,exelente,2026-07-01T23:03:59-07:00,9.1.60,0
Apple App Store,US,14252468230,Roses$ForDays,1,"Old Review: Yes you’re free but you’ve been pushing ads to much & your pricing is quite a lot for premium. New Review: Still money hungry as usual which is Ridiculous and Stop with the Murder/Ghost Story Advertising Podcasts from appearing in my Recommendations, I don’t like hearing those. Update: In 2026, Unusable while poor, it’s changed a whole lot for nothing. The subscription is ridiculous amount of money it wants for it. If you’re a millionaire go for it even a billionaire. Icon used to be a green disco ball, we all miss it.",Update: I love the App but:,2026-07-01T22:58:46-07:00,9.1.60,0
Apple App Store,US,14252444642,SamuraiYoshi24,5,Best music app,I luvvs its,2026-07-01T22:49:05-07:00,9.1.60,0
Apple App Store,US,14252443879,Flamingmoe67,4,"Very good for a free music app, the ads and stupid premium get in the way but besides that it’s really good",E,2026-07-01T22:48:44-07:00,9.1.60,0
Apple App Store,US,14252426683,Love it so much☆彡彡 love it s,5,This app is good,『••✎••』,2026-07-01T22:41:48-07:00,9.1.60,0
Apple App Store,US,14252424588,spottyveiws,5,it helps me sleep,best app,2026-07-01T22:40:59-07:00,9.1.60,0
Apple App Store,US,14252423615,Cartwrightnation,5,"Besides the..odd..decisions inside their company, Spotify is amazing! It’s super easy to find my music and discover new music",Best music app,2026-07-01T22:40:35-07:00,9.1.60,0
Apple App Store,US,14252383426,ATT4CK_DAT,1,Y'all took my premium away with it even being the date y'all took it a month early 🤦🏾,Premium,2026-07-01T22:24:23-07:00,9.1.60,0
Apple App Store,US,14252380303,Coolboy3848,4,I love this app but PLEASE SOMEDAY MAKE SONG MIXER FREE PLEASE,Mix,2026-07-01T22:23:09-07:00,9.1.60,0
Apple App Store,US,14252351233,Bijffx,5,I love this music app best one yet,LOVE SPOTIFY,2026-07-01T22:11:23-07:00,9.1.60,0
Apple App Store,US,14252333629,Karaaaaaa27,2,"The app is great for those who are interested in paying for basic services. However, those like me who just can’t afford or don’t want to pay are treated poorly. I’ve had this app since early November of 2023 and I’ve watched basic features that were free become a pay-to-use feature. These include being able to play songs you want in order, skipping more than six songs an hour, and now only allowing to play six songs of our choice without the shuffle. Additionally, the amount of ads they give for every few songs sucks.",review,2026-07-01T22:04:22-07:00,9.1.60,0
Apple App Store,US,14252327873,Poo Fart Big Butt,5,Muy bueno,Me like,2026-07-01T22:02:06-07:00,9.1.60,0
Apple App Store,US,14252315076,The goat for real ￼,5,Best app ever it’s better than Apple Music dare I say 😅,W,2026-07-01T21:57:05-07:00,9.1.60,0
